beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.07,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.182387851162791e-10,0.0,1.182387851162791e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5880607441860449,0.5880607441860449,True,True,True,True,True,1.50701862303876,0.5555555555555556
0.96,1.07,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1661164587155964e-10,0.0,1.1661164587155964e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6694177064220176,0.6694177064220176,True,True,True,True,True,1.6697325475107054,0.5555555555555556
0.96,1.07,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.150286823529412e-10,0.0,1.150286823529412e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7485658823529399,0.7485658823529399,True,True,True,True,True,1.82802889937255,0.5555555555555556
0.96,1.07,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1348811964285713e-10,0.0,1.1348811964285713e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8255940178571429,0.8255940178571429,True,True,True,True,True,1.982085170380956,0.5555555555555556
0.96,1.07,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1198827665198238e-10,0.0,1.1198827665198238e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9005861674008805,0.9005861674008805,True,True,True,True,True,2.1320694694684312,0.5555555555555556
0.96,1.07,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1052756000000002e-10,0.0,1.1052756000000002e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9736219999999987,0.9736219999999987,True,True,True,True,True,2.278141134666668,0.5555555555555556
0.96,1.07,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.0910445836909873e-10,0.0,1.0910445836909873e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,1.0447770815450628,1.0447770815450628,True,True,False,False,False,2.420451297756796,0.5555555555555556
0.96,1.09,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2280839999999997e-10,0.0,1.2280839999999997e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.3595800000000011,0.3595800000000011,True,True,True,True,True,1.0500571346666723,0.5555555555555556
0.96,1.09,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2107054528301884e-10,0.0,1.2107054528301884e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.44647273584905767,0.44647273584905767,True,True,True,True,True,1.2238426063647854,0.5555555555555556
0.96,1.09,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.193811888372093e-10,0.0,1.193811888372093e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.530940558139535,0.530940558139535,True,True,True,True,True,1.39277825094574,0.5555555555555556
0.96,1.09,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1773832844036696e-10,0.0,1.1773832844036696e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6130835779816516,0.6130835779816516,True,True,True,True,True,1.5570642906299734,0.5555555555555556
0.96,1.09,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1614007058823528e-10,0.0,1.1614007058823528e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6929964705882358,0.6929964705882358,True,True,True,True,True,1.7168900758431418,0.5555555555555556
0.96,1.09,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.145846232142857e-10,0.0,1.145846232142857e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7707688392857143,0.7707688392857143,True,True,True,True,True,1.8724348132380988,0.5555555555555556
0.96,1.09,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1307028898678413e-10,0.0,1.1307028898678413e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.846485550660793,0.846485550660793,True,True,True,True,True,2.0238682359882563,0.5555555555555556
0.96,1.09,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1159545913043477e-10,0.0,1.1159545913043477e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9202270434782612,0.9202270434782612,True,True,True,True,True,2.1713512216231927,0.5555555555555556
0.96,1.09,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1015860772532188e-10,0.0,1.1015860772532188e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9920696137339057,0.9920696137339057,True,True,True,True,True,2.3150363621344816,0.5555555555555556
0.96,1.11,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2398359999999998e-10,0.0,1.2398359999999998e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.3008200000000006,0.3008200000000006,True,True,True,True,True,0.9325371346666713,0.5555555555555556
0.96,1.11,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2222911509433963e-10,0.0,1.2222911509433963e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.38854424528301823,0.38854424528301823,True,True,True,True,True,1.1079856252327067,0.5555555555555556
0.96,1.11,0.6,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2052359255813954e-10,0.0,1.2052359255813954e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.4738203720930224,0.4738203720930224,True,True,True,True,True,1.278537878852715,0.5555555555555556
0.96,1.11,0.62,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.188650110091743e-10,0.0,1.188650110091743e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.5567494495412842,0.5567494495412842,True,True,True,True,True,1.4443960337492388,0.5555555555555556
0.96,1.11,0.64,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1725145882352942e-10,0.0,1.1725145882352942e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.6374270588235285,0.6374270588235285,True,True,True,True,True,1.605751252313727,0.5555555555555556
0.96,1.11,0.66,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1568112678571429e-10,0.0,1.1568112678571429e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.715943660714285,0.715943660714285,True,True,True,True,True,1.7627844560952401,0.5555555555555556
0.96,1.11,0.68,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1415230132158591e-10,0.0,1.1415230132158591e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.7923849339207042,0.7923849339207042,True,True,True,True,True,1.9156670025080786,0.5555555555555556
0.96,1.11,0.7,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1266335826086959e-10,0.0,1.1266335826086959e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.8668320869565199,0.8668320869565199,True,True,True,True,True,2.06456130857971,0.5555555555555556
0.96,1.11,0.72,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.1121275708154509e-10,0.0,1.1121275708154509e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.9393621459227454,0.9393621459227454,True,True,True,True,True,2.209621426512161,0.5555555555555556
0.96,1.13,0.56,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.251588e-10,0.0,1.251588e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.24206000000000005,0.24206000000000005,True,True,True,True,True,0.8150171346666703,0.5555555555555556
0.96,1.13,0.58,0.4,0.2,0.904,0.872,2.5340769140400002e-05,0.24398,1.2338768490566036e-10,0.0,1.2338768490566036e-10,1.003904,0.991952,True,True,True,0.23589713466667225,0.09499999999999786,0.3306157547169814,0.3306157547169814,True,True,True,True,True,0.992128644100633,0.5555555555555556
