beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.11,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.3056679999999998e-10,0.0,1.3056679999999998e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.028339999999999615,0.028339999999999615,True,True,True,True,True,0.2255519006666601,0.7142857142857142
0.96,1.11,0.58,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2871915660377358e-10,0.0,1.2871915660377358e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.06404216981132059,0.06404216981132059,True,True,True,True,True,0.29695624028930206,0.7142857142857142
0.96,1.11,0.6,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2692307534883722e-10,0.0,1.2692307534883722e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.1538462325581384,0.1538462325581384,True,True,True,True,True,0.47656436578293765,0.7142857142857142
0.96,1.11,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2517642752293576e-10,0.0,1.2517642752293576e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.24117862385321134,0.24117862385321134,True,True,True,True,True,0.6512291483730835,0.7142857142857142
0.96,1.11,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.234772e-10,0.0,1.234772e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.3261399999999991,0.3261399999999991,True,True,True,True,True,0.821151900666659,0.7142857142857142
0.96,1.11,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.218234875e-10,0.0,1.218234875e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.4088256249999996,0.4088256249999996,True,True,True,True,True,0.9865231506666601,0.7142857142857142
0.96,1.11,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2021348546255506e-10,0.0,1.2021348546255506e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.48932572687224646,0.48932572687224646,True,True,True,True,True,1.1475233544111538,0.7142857142857142
0.96,1.11,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.186454834782609e-10,0.0,1.186454834782609e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5677258260869547,0.5677258260869547,True,True,True,True,True,1.30432355284057,0.7142857142857142
0.96,1.11,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.171178592274678e-10,0.0,1.171178592274678e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6441070386266091,0.6441070386266091,True,True,True,True,True,1.457085977919879,0.7142857142857142
0.96,1.13,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.3180439999999995e-10,0.0,1.3180439999999995e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.09021999999999822,0.09021999999999822,True,True,True,True,True,0.3493119006666573,0.7142857142857142
0.96,1.13,0.58,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.299392433962264e-10,0.0,1.299392433962264e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.003037830188679973,0.003037830188679973,True,True,True,True,True,0.17494756104402082,0.7142857142857142
0.96,1.13,0.6,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.281261376744186e-10,0.0,1.281261376744186e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.09369311627907,0.09369311627907,True,True,True,True,True,0.3562581332248009,0.7142857142857142
0.96,1.13,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.263629339449541e-10,0.0,1.263629339449541e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.18185330275229483,0.18185330275229483,True,True,True,True,True,0.5325785061712505,0.7142857142857142
0.96,1.13,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.246476e-10,0.0,1.246476e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.26762000000000014,0.26762000000000014,True,True,True,True,True,0.7041119006666612,0.7142857142857142
0.96,1.13,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2297821249999997e-10,0.0,1.2297821249999997e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.351089375000001,0.351089375000001,True,True,True,True,True,0.8710506506666629,0.7142857142857142
0.96,1.13,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2135294977973567e-10,0.0,1.2135294977973567e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.43235251101321615,0.43235251101321615,True,True,True,True,True,1.033576922693093,0.7142857142857142
0.96,1.13,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.197700852173913e-10,0.0,1.197700852173913e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5114957391304349,0.5114957391304349,True,True,True,True,True,1.1918633789275306,0.7142857142857142
