beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.15,0.62,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3398050458715595e-10,0.0,1.3398050458715595e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.19902522935779812,0.19902522935779812,True,True,True,True,True,0.4248971253822609,1.0
0.96,1.15,0.64,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3216176470588233e-10,0.0,1.3216176470588233e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.10808823529411682,0.10808823529411682,True,True,True,True,True,0.2430231372548983,1.0
0.96,1.15,0.66,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.3039174107142854e-10,0.0,1.3039174107142854e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.019587053571427333,0.019587053571427333,True,True,True,True,True,0.06602077380951932,1.0
0.96,1.15,0.68,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2866850220264315e-10,0.0,1.2866850220264315e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.06657488986784185,0.06657488986784185,True,True,True,True,True,0.15999644640234836,1.0
0.96,1.15,0.7,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2699021739130434e-10,0.0,1.2699021739130434e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.1504891304347827,0.1504891304347827,True,True,True,True,True,0.32782492753623005,1.0
0.96,1.15,0.72,0.0,0.0,1.0,1.0,2.5275054e-05,0.24356,1.2535515021459226e-10,0.0,1.2535515021459226e-10,0.992,0.988,True,True,True,0.016846666666661594,0.010000000000003062,0.23224248927038654,0.23224248927038654,True,True,True,True,True,0.4913316452074377,1.0
0.97,1.03,0.56,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.3235065789473684e-10,0.0,1.3235065789473684e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.11753289473684245,0.11753289473684245,True,True,True,True,True,0.25520078947369296,1.0
0.97,1.03,0.58,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.304777712264151e-10,0.0,1.304777712264151e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.023888561320756084,0.023888561320756084,True,True,True,True,True,0.06791212264152022,1.0
0.97,1.03,0.6,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.286571511627907e-10,0.0,1.286571511627907e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.06714244186046403,0.06714244186046403,True,True,True,True,True,0.15441988372093612,1.0
0.97,1.03,0.62,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.268866399082569e-10,0.0,1.268866399082569e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.15566800458715482,0.15566800458715482,True,True,True,True,True,0.3314710091743177,1.0
0.97,1.03,0.64,0.0,0.0,1.0,1.0,2.5273790500000003e-05,0.24357,1.2516419683257918e-10,0.0,1.2516419683257918e-10,0.994,0.991,True,True,True,0.01263500000000749,0.007500000000000562,0.24179015837104037,0.24179015837104037,True,True,True,True,True,0.5037153167420888,1.0
