galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
NGC2955,data/SPARC/Rotmod\NGC2955_rotmod.dat,1,boundary_zero,24,0.0,1386.1382126706112,1386.1382126706112,0.0,0.0,3.6261277938135104,0.0,0.0,0.0,0.0
NGC2976,data/SPARC/Rotmod\NGC2976_rotmod.dat,2,boundary_zero,27,0.0,28.270373875707328,28.270373875707328,0.0,0.0,2.289595247432827,0.0,0.0,0.0,0.0
NGC2998,data/SPARC/Rotmod\NGC2998_rotmod.dat,1,ok,13,124.3,191.1562285486637,324.4971448852813,133.34091633661757,1.6349255943576964,1.6083328215549955,115.96000000000001,123.78999999999999,129.3056,285872275.48261863
NGC3109,data/SPARC/Rotmod\NGC3109_rotmod.dat,1,ok,25,23.44,2005.3436135915665,3093.884267791877,1088.5406542003104,0.47218530849632145,0.4535262038418928,18.2788,23.700000000000003,33.3688,10165880.399819482
NGC3198,data/SPARC/Rotmod\NGC3198_rotmod.dat,1,ok,43,85.82,4704.037411613498,5834.133881549022,1130.0964699355236,0.5508922709570783,0.538820126009071,78.37039999999999,86.76,94.6152,136272053.90134752
NGC3521,data/SPARC/Rotmod\NGC3521_rotmod.dat,1,boundary_zero,41,0.0,1205.6353624276444,1205.6353624276444,0.0,0.0,4.1197224741678395,0.0,0.0,0.0,0.0
NGC3726,data/SPARC/Rotmod\NGC3726_rotmod.dat,2,boundary_zero,12,0.0,257.3266487333951,257.3266487333951,0.0,0.0,7.029931190389656,0.0,0.0,0.0,0.0
NGC3741,data/SPARC/Rotmod\NGC3741_rotmod.dat,1,ok,21,32.74,474.7144999978185,1638.0463693313445,1163.331869333526,0.5407199567085783,0.5368168561081745,30.0968,32.96,35.2528,19832941.526068922
NGC3769,data/SPARC/Rotmod\NGC3769_rotmod.dat,2,ok,12,65.2,137.76470210536408,169.5733245164086,31.808622411044524,3.2366773246873706,3.13883788608959,57.462399999999995,66.0,72.7032,78654753.21285157
NGC3877,data/SPARC/Rotmod\NGC3877_rotmod.dat,2,boundary_zero,13,0.0,278.2137844219607,278.2137844219607,0.0,0.0,4.675798700722785,0.0,0.0,0.0,0.0
NGC3893,data/SPARC/Rotmod\NGC3893_rotmod.dat,1,boundary_zero,10,0.0,167.3618552741629,167.3618552741629,0.0,0.0,0.0,0.0,10.7805,53.373599999999996,0.0
NGC3917,data/SPARC/Rotmod\NGC3917_rotmod.dat,1,ok,17,59.58,300.77273644742735,395.68296024196457,94.91022379453722,1.8164382721287353,1.7955205127317626,48.6736,59.910000000000004,70.128,65679642.323479585
NGC3949,data/SPARC/Rotmod\NGC3949_rotmod.dat,2,boundary_zero,7,0.0,196.6137062427716,196.6137062427716,0.0,0.0,6.065058564023475,0.0,0.0,0.0,0.0
