delta_em,D_over_H,Y_p,Li7_over_H,Be7_over_H,D_z,Y_z,Li_z,passes_D,passes_Y,passes_Li,passes_all
-0.0173,2.655234632352619e-05,0.246225,2.5380767046834046e-11,2.389761158425786e-11,4.2744877450873044,0.028350515463917265,4.278039772682773,False,True,False,False
-0.0172,2.6540002352681394e-05,0.24623,2.582883967048218e-11,2.4295193203666165e-11,4.233341175604646,0.027835051546390974,4.2635858170812195,False,True,False,False
-0.0171,2.6527664120448714e-05,0.246235,2.6284822578153337e-11,2.4699389339488978e-11,4.1922137348290445,0.027319587628864685,4.248876691027311,False,True,False,False
-0.017,2.6515331624160308e-05,0.24624000000000001,2.6748855418176906e-11,2.511031003662086e-11,4.151105413867693,0.026804123711338397,4.233907889736229,False,True,False,False
-0.0169,2.6503004861149583e-05,0.246245,2.7221080304236943e-11,2.5528067170759792e-11,4.110016203831941,0.02628865979381497,4.218674828895582,False,True,False,False
-0.0168,2.6490683828751192e-05,0.24625,2.7701641858895595e-11,2.595277447886587e-11,4.068946095837305,0.025773195876288683,4.203172843261432,False,True,False,False
-0.0167,2.647836852430101e-05,0.246255,2.819068725788501e-11,2.638454759012704e-11,4.027895081003367,0.025257731958762394,4.187397185229515,False,True,False,False
-0.0166,2.646605894513617e-05,0.24626,2.8688366275180902e-11,2.6823504057439807e-11,3.9868631504538996,0.024742268041236106,4.171343023381261,False,True,False,False
-0.0165,2.645375508859503e-05,0.246265,2.919483132887212e-11,2.7269763389413683e-11,3.945850295316763,0.024226804123709814,4.155005441004124,False,True,False,False
-0.0164,2.6441456952017186e-05,0.24627000000000002,2.971023752783978e-11,2.772344708290824e-11,3.9048565067239527,0.023711340206183526,4.138379434585813,False,True,False,False
-0.0163,2.6429164532743472e-05,0.246275,3.023474271926068e-11,2.818467865611133e-11,3.8638817758115724,0.0231958762886601,4.121459912281913,False,True,False,False
-0.0162,2.6416877828115965e-05,0.24628,3.076850753694908e-11,2.8653583682167624e-11,3.822926093719884,0.02268041237113381,4.104241692356481,False,True,False,False
-0.0161,2.6404596835477965e-05,0.246285,3.131169545055226e-11,2.913028982336678e-11,3.7819894515932146,0.022164948453607523,4.086719501595089,False,True,False,False
-0.016,2.6392321552174025e-05,0.24629,3.186447281561421e-11,2.9614926865900215e-11,3.741071840580081,0.021649484536081235,4.068887973689864,False,True,False,False
-0.0159,2.6380051975549907e-05,0.24629500000000001,3.242700892452341e-11,3.010762675519625e-11,3.700173251833021,0.021134020618554947,4.050741647596019,False,True,False,False
-0.0158,2.6367788102952636e-05,0.2463,3.2999476058359896e-11,3.060852363184298e-11,3.6592936765087845,0.020618556701031517,4.032274965859358,False,True,False,False
-0.0157,2.6355529931730453e-05,0.246305,3.3582049539657745e-11,3.1117753868109044e-11,3.618433105768176,0.02010309278350523,4.013482272914266,False,True,False,False
-0.0156,2.6343277459232823e-05,0.24631,3.417490778609883e-11,3.163545610507157e-11,3.5775915307760773,0.01958762886597894,3.99435781335165,False,True,False,False
-0.0155,2.6331030682810472e-05,0.246315,3.477823236515486e-11,3.2161771290362306e-11,3.5367689427015714,0.019072164948452652,3.974895730156295,False,True,False,False
-0.0154,2.6318789599815332e-05,0.24632,3.539220804969363e-11,3.2696842716541374e-11,3.4959653327177733,0.018556701030926364,3.9550900629131083,False,True,False,False
