delta_em,li_scale,be_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,D_z,Y_z,Li7_z,Li_total_z,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all_direct,passes_all_total
-0.00682,1.0,1.0,2.528941977486826e-05,0.246749,1.5885497583266648e-10,1.3469036078380763e-10,2.935453366164741e-10,0.06473258289419344,0.025670103092783423,0.027579865569886633,4.372430213434648,True,True,True,False,True,False
-0.00681,1.0,1.0,2.5288243844189326e-05,0.2467495,1.5913321542901138e-10,1.349127833272371e-10,2.940459987562485e-10,0.06081281396441913,0.025721649484537482,0.03655533641972207,4.388580605040273,True,True,True,False,True,False
-0.0068,1.0,1.0,2.5287067968189904e-05,0.24675,1.5941194237095296e-10,1.3513557317080257e-10,2.945475155417555e-10,0.05689322729968005,0.025773195876288683,0.04554652809525697,4.40475856586308,True,True,True,False,True,False
-0.00679,1.0,1.0,2.528589214686744e-05,0.2467505,1.5969115751209256e-10,1.3535873092104942e-10,2.95049888433142e-10,0.05297382289146068,0.025824742268042742,0.05455346813201812,4.420964143004579,True,True,True,False,True,False
-0.00678,1.0,1.0,2.528471638021939e-05,0.246751,1.599708617075269e-10,1.3558225718552481e-10,2.955531188930517e-10,0.049054600731301995,0.02587628865979394,0.06357618411377143,4.437197383646829,True,True,True,False,True,False
-0.00677,1.0,1.0,2.5283540668243227e-05,0.2467515,1.6025105581385027e-10,1.3580615257277914e-10,2.960572083866294e-10,0.04513556081075625,0.025927835051548,0.07261470367258949,4.45345833505256,True,True,True,False,True,False
-0.00676,1.0,1.0,2.5282365010936403e-05,0.246752,1.6053174068915727e-10,1.3603041769236772e-10,2.96562158381525e-10,0.041216703121341826,0.0259793814432992,0.08166905448894413,4.469747044565322,True,True,True,False,True,False
-0.00675,1.0,1.0,2.5281189408296367e-05,0.2467525,1.6081291719304564e-10,1.3625505315485256e-10,2.970679703478982e-10,0.03729802765455451,0.026030927835053258,0.0907392642917948,4.486063559609619,True,True,True,False,True,False
-0.00674,1.0,1.0,2.528001386032058e-05,0.246753,1.6109458618661854e-10,1.3648005957180369e-10,2.975746457584222e-10,0.03337953440193526,0.026082474226804455,0.09982536085866282,4.5024079276910385,True,True,True,False,True,False
-0.00673,1.0,1.0,2.5278838367006504e-05,0.24675350000000001,1.6137674853248757e-10,1.3670543755580135e-10,2.9808218608828894e-10,0.029461223355013753,0.026134020618558514,0.10892737201572804,4.518780196396417,True,True,True,False,True,False
-0.00672,1.0,1.0,2.5277662928351606e-05,0.246754,1.616594050947751e-10,1.369311877204372e-10,2.9859059281521227e-10,0.025543094505353536,0.02618556701030971,0.11804532563790644,4.5351804133939435,True,True,True,False,True,False
-0.00671,1.0,1.0,2.5276487544353322e-05,0.24675450000000002,1.6194255673911714e-10,1.3715731068031615e-10,2.990998674194333e-10,0.021625147844405227,0.026237113402063774,0.12717924964894017,4.551608626433332,True,True,True,False,True,False
-0.0067,1.0,1.0,2.5275312215009127e-05,0.246755,1.622262043326657e-10,1.373838070510582e-10,2.9961001138372386e-10,0.017707383363754964,0.02628865979381497,0.13632917202147427,4.568064883345931,True,True,True,False,True,False
-0.00669,1.0,1.0,2.5274136940316483e-05,0.24675550000000002,1.6251034874409186e-10,1.3761067744929975e-10,3.001210261933916e-10,0.013789801054943714,0.02634020618556903,0.14549512077715668,4.584549232044889,True,True,True,False,True,False
-0.00668,1.0,1.0,2.5272961720272834e-05,0.246756,1.6279499084358806e-10,1.3783792249269567e-10,3.0063291333628376e-10,0.009872400909444674,0.026391752577320227,0.15467712398671177,4.601061720525283,True,True,True,False,True,False
-0.00667,1.0,1.0,2.527178655487565e-05,0.24675650000000002,1.6308013150287093e-10,1.3806554279992077e-10,3.011456743027917e-10,0.005955182918832694,0.026443298969074287,0.16387520977003017,4.617602396864248,True,True,True,False,True,False
-0.00666,1.0,1.0,2.527061144412238e-05,0.246757,1.6336577159518398e-10,1.3829353899067134e-10,3.016593105858553e-10,0.0020381470746035596,0.026494845360825487,0.17308940629625735,4.634171309221139,True,True,True,False,True,False
-0.00665,1.0,1.0,2.52694363880105e-05,0.2467575,1.6365191199530029e-10,1.385219116856673e-10,3.021738236809676e-10,0.001878706631667882,0.026546391752576684,0.18231974178388027,4.6507685058376635,True,True,True,False,True,False
-0.00664,1.0,1.0,2.526826138653745e-05,0.246758,1.6393855357952492e-10,1.3875066150665335e-10,3.026892150861783e-10,0.005795378208497135,0.026597938144330743,0.1915662445008041,4.66739403503801,True,True,True,False,True,False
-0.00663,1.0,1.0,2.5267086439700704e-05,0.2467585,1.6422569722569802e-10,1.3897978907640103e-10,3.0320548630209905e-10,0.009711867664320648,0.02664948453608194,0.20082894276445218,4.684047945229001,True,True,True,False,True,False
-0.00662,1.0,1.0,2.5265911547497714e-05,0.246759,1.6451334381319726e-10,1.3920929501871032e-10,3.037226388319076e-10,0.013628175007620045,0.026701030927836003,0.21010786494184716,4.700730284900244,True,True,True,False,True,False
-0.00661,1.0,1.0,2.5264736709925937e-05,0.2467595,1.6480149422294046e-10,1.394391799584113e-10,3.0424067418135174e-10,0.017544300246876948,0.0267525773195872,0.21940303944969244,4.7174411026242495,True,True,True,False,True,False
-0.0066,1.0,1.0,2.5263561926982845e-05,0.24676,1.650901493373886e-10,1.3966944452136587e-10,3.0475959385875447e-10,0.021460243390516512,0.02680412371134126,0.22871449475447073,4.734180447056596,True,True,True,False,True,False
