epsilon,delta_em,pi_cosmo,G_eff_cosmo,F_temps_cosmo,omega_m_eff,H_ratio_z0,H_ratio_z05,H_ratio_z1,H_ratio_z2,DA_rec,DL_z0_5,DL_z1,f_sigma8_proxy_z0,f_sigma8_proxy_z05,f_sigma8_proxy_z1,first_peak_shift,chi_sn,chi_bao,chi_cmb,chi_growth,chi_total,passes_bbn,passes_cosmo,passes_all
-0.0067,-0.0067,0.03,1.002412,0.9981942665717717,0.31633098944202004,1.003016453997752,1.003016453997752,1.0030164539977517,1.003016453997752,10.35137814309475,2918.0338684464296,6781.235005664754,0.5298679003931215,0.7607609166665487,0.8761632420628722,0.0018089999999999495,0.04043997653579327,2222.282517880239,5.707657602464149,32.8729893459255,2260.9036048051644,True,False,False
-0.0067,-0.0067,0.1,1.00804,0.9940061429579635,0.319447321578,1.010066144191377,1.010066144191377,1.010066144191377,1.010066144191377,10.279131380439107,2897.667643060742,6733.905822130568,0.5301435613665011,0.760931284072908,0.8762581020704066,0.00602999999999998,0.45034337280707687,2222.884340239953,6.1801089479633395,32.90061385522143,2262.4154064159443,True,False,False
-0.0066,-0.0066,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0066,-0.0066,0.01,1.000792,0.9994063526265399,0.31543673819111995,1.0009901568004784,1.0009901568004782,1.0009901568004784,1.0009901568004782,10.372332363650031,2923.940823483911,6794.962211065011,0.5297885789226102,0.7607118840784295,0.8761359388468781,0.0005939999999999834,0.004357379953482014,2222.228745367883,5.589733411939585,32.86504537908991,2260.6878815388663,True,False,False
-0.0066,-0.0066,0.03,1.002376,0.9982211698752823,0.3163111037200799,1.0029714109250796,1.0029714109250796,1.0029714109250798,1.0029714109250796,10.35184301963348,2918.1649162611166,6781.539548404302,0.5298661375647575,0.7607598270191442,0.8761626353154952,0.0017819999999999503,0.039241257269700416,2222.280735855396,5.704949195552356,32.872812776185825,2260.897739084404,True,False,False
-0.0066,-0.0066,0.1,1.00792,0.9940950752529971,0.319380719112,1.0099156661058941,1.0099156661058941,1.0099156661058943,1.0099156661058943,10.280662977643178,2898.0993974080875,6734.909178440348,0.5301376822377669,0.7609276511075664,0.8762560793618142,0.005940000000000056,0.43697970810479825,2222.8648837631013,6.169019887411908,32.90002441560943,2262.370907774228,True,False,False
-0.0065,-0.0065,0.0,1.0,1.0,0.315,1.0,1.0,1.0,1.0,10.38260259907672,2926.835983374479,6801.690289107283,0.5297498038588546,0.7606879137410921,0.8761225909176094,0.0,0.0,2222.2222222222226,5.535026856094648,32.86116290607792,2260.618411984395,True,False,False
-0.0065,-0.0065,0.01,1.00078,0.9994153420249153,0.31543011873450005,1.000975152085173,1.0009751520851733,1.0009751520851733,1.0009751520851733,10.37248784592534,2923.9846536424648,6795.064068212284,0.5297879914004695,0.7607115208858647,0.8761357366040083,0.0005850000000000577,0.004226318174300939,2222.2285493536365,5.588890088099259,32.8649865476461,2260.686652307556,True,False,False
-0.0065,-0.0065,0.03,1.00234,0.9982480746290261,0.31629121861049997,1.0029263684998309,1.0029263684998309,1.0029263684998309,1.0029263684998309,10.352307931246179,2918.2959739630896,6781.844114120964,0.5298643747422584,0.7607587373733007,0.8761620285685384,0.001754999999999951,0.03806058931912131,2222.2789804292865,5.702244781250703,32.87263620813468,2260.891922007991,True,False,False
-0.0065,-0.0065,0.1,1.0078,0.994184023462743,0.31931412345,1.0097651951991116,1.0097651951991116,1.0097651951991116,1.0097651951991116,10.28219495823425,2898.5312598314977,6735.9127859086975,0.5301318031742305,0.7609240181595699,0.8762540566578908,0.005849999999999911,0.4238179434522291,2222.8457126700955,6.15797501948343,32.89943499477897,2262.32694062781,True,False,False
